strata,filter,class,value,labels,variable,var_long,facet_label
3,complexity,str,0.6717055439949036,High Pressure (8+),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
3,cover,str,0.03190191090106964,High Pressure (8+),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
3,cum,dhi,0.14619362354278564,High Pressure (8+),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
3,height,str,0.612937331199646,High Pressure (8+),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
3,var,dhi,2.5999152660369873,High Pressure (8+),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
3,biomass,str,3.4556920528411865,High Pressure (8+),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
3,complexity,str,0.05895819514989853,High Pressure (8+),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
3,cover,str,0.6142899990081787,High Pressure (8+),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
3,cum,dhi,0.05209103599190712,High Pressure (8+),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
3,height,str,0.6455926299095154,High Pressure (8+),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
3,var,dhi,2.488119125366211,High Pressure (8+),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
3,biomass,str,0.03464917093515396,High Pressure (8+),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
3,complexity,str,0.7967163324356079,High Pressure (8+),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
3,cover,str,0.08297904580831528,High Pressure (8+),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
3,cum,dhi,0.1343202143907547,High Pressure (8+),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
3,height,str,0.436642050743103,High Pressure (8+),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
3,var,dhi,0.5293450355529785,High Pressure (8+),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
3,biomass,str,0.15765796601772308,High Pressure (8+),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
3,complexity,str,0.4806289076805115,High Pressure (8+),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
3,cover,str,0.007477233186364174,High Pressure (8+),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
3,cum,dhi,0.692764937877655,High Pressure (8+),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
3,height,str,0.37577736377716064,High Pressure (8+),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
3,var,dhi,1.1868176460266113,High Pressure (8+),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
3,biomass,str,3.21640944480896,High Pressure (8+),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
3,complexity,str,0.893502950668335,High Pressure (8+),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
3,cover,str,1.4734368324279785,High Pressure (8+),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
3,cum,dhi,0.18865054845809937,High Pressure (8+),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
3,height,str,1.2975724935531616,High Pressure (8+),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
3,var,dhi,2.1599438190460205,High Pressure (8+),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
3,biomass,str,0.22310511767864227,High Pressure (8+),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
3,complexity,str,0.29154807329177856,High Pressure (8+),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
